Key,ru,en,de,fr,tr,es,ja,zh,id
Tutorial 3,"Через шипы ты можешь пролететь вверх, но падать на них смертельно опасно","You can fly up through the spikes, but falling on them is deadly.","Sie können durch die Stacheln nach oben fliegen, aber darauf zu fallen ist tödlich.","Vous pouvez voler à travers les pointes, mais tomber dessus est mortel.","Dikenlerin arasından uçarak yukarı çıkabilirsiniz, ancak üzerlerine düşmeniz ölümcüldür.","Puedes volar hacia arriba a través de las púas, pero caer sobre ellas es mortal",スパイクを飛び越えて上ることはできますが、スパイクの上に落ちると致命的です。,你可以飛過尖刺，但掉在尖刺上則會致命。,"Anda dapat terbang ke atas melalui duri-duri itu, tetapi jatuh di atasnya mematikan"
Tutorial 4,"А это жуки, их опасность заключается в движении, не попадайся им на пути","These are beetles, their danger lies in their movement, don't get in their way","Das sind Käfer, ihre Gefahr liegt in ihrer Bewegung, stelle dich ihnen nicht in den Weg","Et ce sont des coléoptères, leur danger réside dans le mouvement, ne vous mettez pas en travers de leur chemin","Ve bunlar kınkanatlı böcekler, tehlikeleri hareketlerinde, yollarına çıkmayın","Estos son escarabajos, su peligrosidad radica en su movimiento, no te interpongas en su camino.",これらは甲虫です。その動きが危険です。邪魔をしないでください。,這些是甲蟲，它們的危險在於它們的運動，不要妨礙它們,"Ini adalah kumbang, bahayanya terletak pada pergerakannya, jangan menghalangi mereka"
End Tutorial,"Поздравляю, теперь ты знаешь всё! 

Заработанную пыльцу можно потратить в инвентаре на интересные образы.

Не забывай отслеживать свой прогресс в Таблице Лидеров.

Удачи!","Congratulations, now you know everything!

You can spend the pollen you earn in your inventory on interesting skins.

Don't forget to track your progress on the Leaderboard.

Good luck!","Herzlichen Glückwunsch, jetzt weißt du alles!

Den verdienten Pollen kannst du im Inventar für interessante Aussehen ausgeben.

Vergiss nicht, deinen Fortschritt in der Bestenliste zu verfolgen.

Viel Glück!","Félicitations, vous savez tout maintenant !

Le pollen gagné peut être dépensé dans l'inventaire pour des apparences intéressantes.

N'oubliez pas de suivre vos progrès dans le classement.

Bonne chance !","Tebrikler, artık her şeyi biliyorsunuz!

Kazandığınız polenleri envanterinizde ilginç görünümler için kullanabilirsiniz.

Lider Tablosu'nda ilerlemenizi takip etmeyi unutmayın.

Bol şans!","¡Felicidades, ya lo sabes todo!

El polen que ganes se puede gastar en tu inventario en apariencias interesantes.

No olvides seguir tu progreso en la tabla de clasificación.

¡Mucha suerte!","おめでとうございます！これですべて理解できました！

インベントリで獲得した花粉を使って、魅力的なスキンを入手できます。

リーダーボードで進捗状況を確認するのをお忘れなく。

頑張ってください！","恭喜，現在你已經了解一切了！

你可以用庫存中賺取的花粉購買有趣的皮膚。

別忘了在排行榜上追蹤你的進度。

祝你好運！","Selamat, sekarang kamu tahu semuanya!

Serbuk sari yang kamu dapatkan bisa dibelanjakan di inventaris untuk tampilan menarik.

Jangan lupa lacak kemajuanmu di Papan Peringkat.

Semoga sukses!"
CONTINUE,ПРОДОЛЖИТЬ,CONTINUE,WEITERMACHEN,CONTINUER,DEVAM ETMEK,CONTINUAR,続く,繼續,MELANJUTKAN
,,,,,,,,,
RESIKN_NOOBIK,,,,,,,,,
PICKS,КИРКИ,PICKS,AUSWAHL,CHOIX,SEÇİMLER,SELECCIONES,ピック,撥片,PILIHAN
ORES,РУДЫ,ORES,ERZE,Minerais,CEVHERLER,MINERALES,鉱石,礦石,BIJIH
SPIDERS,ПАУКИ,SPIDERS,SPINNEN,ARAIGNÉES,ÖRÜMCEKLER,ARAÑAS,クモ,蜘蛛,LABA-LABA
Tutorial 1,"Собирая блоки, ты зарабатываешь руду и ставишь рекорды","By collecting blocks, you earn ore and set records","Indem du Blöcke sammelst, verdienst du Erz und stellst Rekorde auf","En collectant des blocs, tu gagnes du minerai et établis des records",Blokları toplayarak cevher kazanırsın ve rekorlar kırarsın,"Al recolectar bloques, ganas mineral y estableces récords",ブロックを集めることで、鉱石を獲得し、記録を打ち立てるよ！,透過收集方塊，您可以賺取礦石並創下記錄。,"Dengan mengumpulkan blok, kamu mendapatkan bijih dan mencetak rekor"
Tutorial 2,Во время притягивания ты можешь переключиться на другой блок руды для смены движения,"While attracting, you can switch to another ore block to change your movement","Während des Anziehens kannst du zu einem anderen Erzblock wechseln, um die Bewegung zu ändern","Pendant l'attraction, tu peux passer à un autre bloc de minerai pour changer de mouvement","Çekerken, hareketi değiştirmek için başka bir cevher bloğuna geçebilirsin","Mientras atraes, puedes cambiar a otro bloque de mineral para modificar tu movimiento",引き寄せている間に、別の鉱石ブロックに切り替えて動きを変えることができるよ。,拉動時，您可以切換到另一個礦石塊來改變運動。,"Saat menarik, kamu bisa beralih ke blok bijih lain untuk mengubah gerakan"
Congratulation Tutorial,"Поздравляю, теперь ты знаешь всё! 

Заработанную руду можно потратить в инвентаре на интересные образы.

Не забывай отслеживать свой прогресс в Таблице Лидеров.

Удачи!","Congratulations, now you know everything!

The ore you earn can be spent in the inventory on cool skins.

Don’t forget to track your progress on the Leaderboard.

Good luck!","Gratuliere, jetzt weißt du alles!

Das verdiente Erz kannst du im Inventar für coole Skins ausgeben.

Vergiss nicht, deinen Fortschritt in der Rangliste zu verfolgen.

Viel Erfolg!","Félicitations, maintenant tu sais tout !

Le minerai gagné peut être dépensé dans l'inventaire pour des apparences intéressantes.

N'oublie pas de suivre tes progrès dans le classement.

Bonne chance !","Tebrikler, artık her şeyi biliyorsun!

Kazandığın cevheri envanterde harika görünümler için harcayabilirsin.

Lider Tablosu’nda ilerlemeni takip etmeyi unutma.

Bol şans!","¡Felicidades, ahora lo sabes todo!

El mineral ganado se puede gastar en el inventario en aspectos interesantes.

No olvides seguir tu progreso en la Tabla de Líderes.

¡Buena suerte!","おめでとう！これで全部わかったね！

獲得した鉱石はインベントリでカッコいいスキンに使えます。

リーダーボードで自分の進捗をチェックするのを忘れないでね。

幸運を！","""恭喜，現在你已經了解一切了！

你可以用庫存中賺取的礦石購買有趣的皮膚。

別忘了在排行榜上追蹤你的進度。

祝你好運！""","Selamat, sekarang kamu tahu segalanya!

Bijih yang kamu dapatkan bisa digunakan di inventaris untuk membeli skin keren.

Jangan lupa pantau kemajuanmu di Papan Peringkat.

Semoga sukses!"
,,,,,,,,,
,,,,,,,,,
Reskin Labubu,,,,,,,,,
LABUBU,ЛАБУБУ,LABUBU,LABUBU,LABUBU,LABUBU,LABUBU,ラブブ,拉布布,LABUBU
FOOD,ЕДА,FOOD,ESSEN,NOURRITURE,YİYECEK,ALIMENTO,食べ物,食物,MAKANAN
LAB Tutorial 1,"Собирая еду, ты кормишь Лабубу и зарабатываешь Сахарок, местную валюту","By collecting food, you feed Labubu and earn Sugar, the local currency.","Indem Sie Lebensmittel sammeln, ernähren Sie Labubu und verdienen Zucker, die lokale Währung.","En collectant de la nourriture, vous nourrissez Labubu et gagnez du sucre, la monnaie locale.",Yiyecek toplayarak Labubu'yu besliyor ve yerel para birimi olan Şeker kazanıyorsunuz.,"Al recolectar alimentos, alimentas a Labubu y ganas azúcar, la moneda local.",食べ物を集めると、ラブブに餌を与え、現地通貨である砂糖を獲得できます。,透過收集食物，您可以餵養拉布布並賺取當地貨幣糖。,"Dengan mengumpulkan makanan, Anda memberi makan Labubu dan mendapatkan Gula, mata uang lokal."
LAB Tutorial 2,Во время притягивания ты можешь переключиться на любую другую еду для смены движения,"While pulling, you can switch to any other food to change the movement.","Während des Ziehens können Sie auf jedes andere Futter umsteigen, um die Bewegung zu verändern.","Pendant que vous tirez, vous pouvez passer à n’importe quel autre aliment pour changer le mouvement.",Çekerken hareketi değiştirmek için başka bir yiyeceğe geçebilirsiniz.,"Mientras tiras, puedes cambiar a cualquier otro alimento para cambiar el movimiento.",引っ張っている間に、他の食べ物に切り替えると動きを変えることができます。,拉動時，您可以換用任何其他食物來改變動作。,"Sambil menarik, Anda dapat beralih ke makanan lain untuk mengubah gerakan."
LAB Tutorial End,"Поздравляю, теперь ты знаешь всё! 

Заработанный сахар можно потратить в инвентаре на интересные образы.

Не забывай отслеживать свой прогресс в Таблице Лидеров.

Удачи!","Congratulations, now you know everything!

You can spend the sugar you earn in your inventory on interesting skins.

Don't forget to track your progress on the Leaderboard.

Good luck!","Herzlichen Glückwunsch, jetzt weißt du alles!

Du kannst den Zucker, den du in deinem Inventar verdienst, für interessante Skins ausgeben.

Vergiss nicht, deinen Fortschritt in der Bestenliste zu verfolgen.

Viel Glück!","Félicitations, vous savez maintenant tout !

Vous pouvez dépenser le sucre gagné dans votre inventaire pour obtenir des skins intéressants.

N'oubliez pas de suivre votre progression dans le classement.

Bonne chance !","Tebrikler, artık her şeyi biliyorsunuz!

Envanterinizde kazandığınız şekeri ilginç kostümlere harcayabilirsiniz.

İlerlemenizi Liderlik Tablosu'nda takip etmeyi unutmayın.

Bol şans!","¡Felicidades, ya lo sabes todo!

Puedes gastar el azúcar que ganes en tu inventario en aspectos interesantes.

No olvides seguir tu progreso en la tabla de clasificación.

¡Mucha suerte!","おめでとうございます！これですべて理解できました！

インベントリで獲得した砂糖を使って、魅力的なスキンを入手できます。

リーダーボードで進捗状況を確認するのをお忘れなく。

頑張ってください！","恭喜，現在你已經了解一切了！

你可以用庫存中賺取的糖來購買有趣的皮膚。

別忘了在排行榜上追蹤你的進度。

祝你好運！","Selamat, sekarang kamu tahu segalanya!

Kamu bisa menggunakan gula yang kamu peroleh di inventarismu untuk membeli skin-skin menarik.

Jangan lupa pantau progresmu di Papan Peringkat.

Semoga berhasil!"
x3 SUGAR,х3 САХАРА,x3 SUGAR,x3 ZUCKER,x3 SUCRE,x3 ŞEKER,x3 AZÚCAR,砂糖3個,x3 糖,x3 GULA
,,,,,,,,,
,,,,,,,,,
Tutorial_New,,,,,,,,,
Tut_1,Давай перейдем в инвентарь и посмотрим что там есть,Let's go to the inventory and see what's there.,"Gehen wir zum Inventar und sehen wir nach, was dort ist.",Allons à l'inventaire et voyons ce qu'il y a là.,Envantere gidelim ve neler var bakalım.,Vayamos al inventario y veamos qué hay.,在庫に行って、何が入っているか見てみましょう。,我們去庫存看看有什麼。,Mari kita lihat inventaris dan lihat apa yang ada di sana.
Tut_2,Открой сундук из выбранной категории,Open a chest from the selected category,Öffnen Sie eine Truhe aus der ausgewählten Kategorie,Ouvrir un coffre de la catégorie sélectionnée,Seçili kategoriden bir sandık açın,Abre un cofre de la categoría seleccionada,選択したカテゴリーから宝箱を開ける,打開所選類別的寶箱,Buka peti dari kategori yang dipilih
Tut_3,"После открытия сундука, ты получишь новый образ в коллекцию","After opening the chest, you will receive a new image for your collection.",Nach dem Öffnen der Truhe erhalten Sie ein neues Bild für Ihre Sammlung.,"Après avoir ouvert le coffre, vous recevrez une nouvelle image pour votre collection.",Sandığı açtıktan sonra koleksiyonunuz için yeni bir resim alacaksınız.,"Después de abrir el cofre, recibirás una nueva imagen para tu colección.",宝箱を開けると、コレクション用の新しい画像が表示されます。,打開寶箱後，您將收到新的圖像以供收藏。,"Setelah membuka peti, Anda akan menerima gambar baru untuk koleksi Anda."
Tut_4,После открытия получи новый уникальный образ,"After opening, get a new unique look",Nach dem Öffnen erhalten Sie einen neuen einzigartigen Look,"Après ouverture, obtenez un nouveau look unique",Açıldıktan sonra yeni ve benzersiz bir görünüm elde edin,"Después de abrirlo, consigue una nueva apariencia única.",開封後は新しいユニークな外観になります,打開後，獲得全新獨特外觀,"Setelah dibuka, dapatkan tampilan unik baru"
Tut_5,Теперь давай изменим образ лабубы,Now let's change the image of Labuba,Jetzt ändern wir das Bild von Labuba,"Maintenant, changeons l'image de Labuba",Şimdi Labuba'nın imajını değiştirelim,Ahora cambiemos la imagen de Labuba.,さあ、ラブバのイメージを変えてみましょう,現在讓我們改變拉布巴的形象,Sekarang mari kita ubah citra Labuba
Tut_6,Теперь давай изменим образ лабубы,Now let's change the image of Labuba,Jetzt ändern wir das Bild von Labuba,"Maintenant, changeons l'image de Labuba",Şimdi Labuba'nın imajını değiştirelim,Ahora cambiemos la imagen de Labuba.,さあ、ラブバのイメージを変えてみましょう,現在讓我們改變拉布巴的形象,Sekarang mari kita ubah citra Labuba
Tut_7,Выбери новый образ,Choose a new look,Wählen Sie einen neuen Look,Choisissez un nouveau look,Yeni bir görünüm seçin,Elige un nuevo look,新しい外観を選択する,選擇新外觀,Pilih tampilan baru
Tut_8,Давай сыграем нашу первую игру,Let's play our first game.,Lass uns unser erstes Spiel spielen.,Jouons à notre premier jeu.,İlk oyunumuzu oynayalım.,Juguemos nuestro primer juego.,最初のゲームをプレイしてみましょう。,讓我們玩第一個遊戲。,Ayo mainkan permainan pertama kita.
Tut_9,Выбери классический режим,Select classic mode,Wählen Sie den klassischen Modus,Sélectionnez le mode classique,Klasik modu seçin,Seleccionar el modo clásico,クラシックモードを選択,選擇經典模式,Pilih mode klasik
Tut_10,У тебя открылась награда за ежедневный вход. Давай перейдем и заберём её,You've unlocked your daily login reward. Let's head over and claim it.,Sie haben Ihre tägliche Login-Belohnung freigeschaltet. Holen Sie sie sich jetzt.,Vous avez débloqué votre récompense de connexion quotidienne. Allez-y et récupérez-la.,Günlük giriş ödülünüzün kilidini açtınız. Hadi gidip alın.,Has desbloqueado tu recompensa diaria por iniciar sesión. ¡Vamos a reclamarla!,毎日のログイン報酬を獲得しました。さあ、受け取ってください。,您已解鎖每日登入獎勵。快去領取吧！,Kamu sudah mendapatkan hadiah login harianmu. Ayo klaim sekarang juga.
Tut_11,"Собирай награду каждый день, которая отмечена зеленым цветом","Collect the reward every day, which is marked in green.",Sammeln Sie täglich die grün markierte Belohnung ein.,Récupérez chaque jour la récompense marquée en vert.,Yeşil renkle işaretlenmiş ödülü her gün toplayın.,"Recoge la recompensa cada día, que está marcada en verde.",緑色でマークされた報酬を毎日集めてください。,每天領取獎勵，獎勵以綠色標記。,"Kumpulkan hadiahnya setiap hari, yang ditandai dengan warna hijau."
Tut_12,А теперь давай сходим в свой первый полёт,Now let's go on our first flight.,Nun geht es los zu unserem ersten Flug.,"Maintenant, partons pour notre premier vol.",Şimdi ilk uçuşumuza geçelim.,Ahora vamos a realizar nuestro primer vuelo.,さあ、初めての飛行に出かけましょう。,現在讓我們開始我們的第一次飛行。,"Sekarang, mari kita terbang pertama kali."
Tut_13,"Теперь давай перейдём и посмотрим, что у нас есть в ежедневных заданиях",Now let's move on and see what we have in our daily quests.,"Machen wir jetzt weiter und sehen wir, was wir in unseren täglichen Quests haben.",Passons maintenant à autre chose et voyons ce que nous avons dans nos quêtes quotidiennes.,Şimdi günlük görevlerimizin neler olduğuna bir bakalım.,Ahora sigamos adelante y veamos qué tenemos en nuestras misiones diarias.,それでは、先に進んで、毎日のクエストに何があるか見てみましょう。,現在讓我們繼續看看我們的日常任務中有什麼。,Sekarang mari kita lanjutkan dan lihat apa yang kita miliki dalam kegiatan sehari-hari kita.
Tut_14,"Ого, мы уже выполнили одно, давай заберём награду!","Wow, we've already accomplished one, let's get the reward!","Wow, wir haben schon einen geschafft, lasst uns die Belohnung abholen!","Waouh, nous en avons déjà accompli une, allons chercher la récompense !","Vay canına, bir tanesini daha başardık, haydi ödülümüzü alalım!","¡Guau, ya hemos logrado uno, vamos a por la recompensa!",わあ、もう1つ達成しました。報酬をもらいましょう！,哇，我們已經完成了一項任務，讓我們去領取獎勵吧！,"Wah, kita sudah berhasil satu, ayo kita dapatkan hadiahnya!"
Tut_15,А теперь давай сходим в свой первый полёт,Now let's go on our first flight.,Nun geht es los zu unserem ersten Flug.,"Maintenant, partons pour notre premier vol.",Şimdi ilk uçuşumuza geçelim.,Ahora vamos a realizar nuestro primer vuelo.,さあ、初めての飛行に出かけましょう。,現在讓我們開始我們的第一次飛行。,"Sekarang, mari kita terbang pertama kali."
Tut_16,"За звездочки мы можем обсустраивать поля и комнаты, открывая более красочные места","For stars we can decorate fields and rooms, opening up more colorful places.",Für Sterne können wir Felder und Räume dekorieren und so farbenfrohere Orte schaffen.,"Pour les étoiles, nous pouvons décorer des champs et des pièces, ouvrant des endroits plus colorés.",Yıldızlar için tarlaları ve odaları dekore ederek daha renkli mekanlar yaratabiliriz.,"Para las estrellas podemos decorar campos y habitaciones, abriendo espacios más coloridos.",星については、フィールドや部屋を飾ることができ、よりカラフルな場所が広がります。,對於星星，我們可以裝飾田野和房間，開闢更多彩的地方。,"Untuk bintang, kita dapat menghias ladang dan ruangan, membuka tempat yang lebih berwarna."
Tut_17,"Это место выглядит достаточно скучно, давай откроем новые элементы и преобразим его","This place looks pretty boring, let's open up some new elements and transform it.",Dieser Ort sieht ziemlich langweilig aus. Lassen Sie uns einige neue Elemente hinzufügen und ihn umgestalten.,"Cet endroit a l'air assez ennuyeux, ouvrons quelques nouveaux éléments et transformons-le.","Burası oldukça sıkıcı görünüyor, hadi yeni öğeler açıp dönüştürelim.","Este lugar parece bastante aburrido, abramos algunos elementos nuevos y transformémoslo.",この場所はかなり退屈に見えます。いくつかの新しい要素を開いて変身させましょう。,這個地方看起來很無聊，讓我們開放一些新的元素並改造它。,"Tempat ini terlihat cukup membosankan, mari kita buka beberapa elemen baru dan mengubahnya."
Tut_18,А теперь давай сходим в свой первый полёт,Now let's go on our first flight.,Nun geht es los zu unserem ersten Flug.,"Maintenant, partons pour notre premier vol.",Şimdi ilk uçuşumuza geçelim.,Ahora vamos a realizar nuestro primer vuelo.,さあ、初めての飛行に出かけましょう。,現在讓我們開始我們的第一次飛行。,"Sekarang, mari kita terbang pertama kali."
Tut_19,Давай заглянем в Альбом на котором можно рисовать и использовать наши образы,Let's take a look at the Album where we can draw and use our images.,"Werfen wir einen Blick auf das Album, in dem wir zeichnen und unsere Bilder verwenden können.",Jetons un œil à l'album où nous pouvons dessiner et utiliser nos images.,Resimlerimizi çizip kullanabileceğimiz Albüme bir göz atalım.,Echemos un vistazo al Álbum donde podemos dibujar y usar nuestras imágenes.,画像を描いたり使用したりできるアルバムを見てみましょう。,讓我們看一下相冊，我們可以在其中繪製和使用我們的圖像。,Mari kita lihat Album tempat kita dapat menggambar dan menggunakan gambar kita.
Tut_20,Выбери категорию,Select a category,Wählen Sie eine Kategorie aus,Sélectionnez une catégorie,Bir kategori seçin,Seleccione una categoría,カテゴリーを選択,選擇一個類別,Pilih kategori
Tut_21,"Выбери образ первый стикер - образ. Обрати внимание, чтоб после размещения ты сможешь изменить размер, поворот или просто удалить ненужный с холста","Select the image as the first sticker. Note that after placing it, you can resize, rotate, or simply delete the unwanted sticker from the canvas.","Wählen Sie das Bild als ersten Sticker aus. Beachten Sie, dass Sie nach dem Platzieren die Größe ändern, den unerwünschten Sticker drehen oder einfach von der Leinwand löschen können.","Sélectionnez l'image comme premier autocollant. Après l'avoir placé, vous pouvez le redimensionner, le faire pivoter ou simplement le supprimer de la zone de travail.","İlk çıkartma olarak resmi seçin. Yerleştirdikten sonra, istenmeyen çıkartmayı yeniden boyutlandırabilir, döndürebilir veya tuvalden silebilirsiniz.","Selecciona la imagen como primer sticker. Recuerda que, después de colocarla, puedes redimensionarla, rotarla o simplemente eliminarla del lienzo.",最初のステッカーとして画像を選択します。配置後、サイズを変更したり、回転させたり、不要なステッカーをキャンバスから削除したりすることができます。,選擇圖像作為第一個貼紙。請注意，放置後，您可以調整大小、旋轉，或直接從畫布中刪除不需要的貼紙。,"Pilih gambar sebagai stiker pertama. Perhatikan bahwa setelah menempelkannya, Anda dapat mengubah ukuran, memutar, atau menghapus stiker yang tidak diinginkan dari kanvas."
Tut_22,Размести его на холсте. После рахмещения его можно перемещать по холсту сколько угодно или ты можешь выбрать уже приклеенный стикер,"Place it on the canvas. Once placed, you can move it around the canvas as much as you like, or you can choose a pre-applied sticker.",Platzieren Sie es auf der Leinwand. Nach dem Platzieren können Sie es beliebig auf der Leinwand verschieben oder einen bereits angebrachten Aufkleber auswählen.,"Placez-le sur la toile. Une fois posé, vous pouvez le déplacer à votre guise, ou choisir un autocollant pré-appliqué.","Tuvale yerleştirin. Yerleştirdikten sonra, tuval üzerinde istediğiniz kadar hareket ettirebilir veya önceden yapıştırılmış bir çıkartma seçebilirsiniz.","Colócalo en el lienzo. Una vez colocado, puedes moverlo por el lienzo tanto como quieras o elegir una pegatina preaplicada.",キャンバスに貼り付けます。一度配置したら、キャンバス上で好きなように動かすことができます。また、あらかじめ貼り付けられたステッカーを選択することもできます。,把它貼到畫布上。貼好後，你可以隨意在畫布上移動它，或者你也可以選擇預先貼好的貼紙。,"Letakkan di atas kanvas. Setelah diletakkan, Anda dapat memindahkannya ke seluruh kanvas sesuka hati, atau Anda dapat memilih stiker yang sudah terpasang."
Tut_23,"В этой панели ты сможешь изменить цвет, размер карандаша или ластика","In this panel you can change the color, size of the pencil or eraser",In diesem Bereich können Sie die Farbe und Größe des Bleistifts oder Radiergummis ändern,"Dans ce panneau, vous pouvez modifier la couleur, la taille du crayon ou de la gomme","Bu panelde kalemin veya silginin rengini, boyutunu değiştirebilirsiniz","En este panel puedes cambiar el color, tamaño del lápiz o borrador.",このパネルでは、鉛筆や消しゴムの色やサイズを変更できます。,在此面板中，您可以變更鉛筆或橡皮擦的顏色和大小,"Di panel ini Anda dapat mengubah warna, ukuran pensil atau penghapus"
Tut_24,А теперь давай сходим в свой первый полёт,Now let's go on our first flight.,Nun geht es los zu unserem ersten Flug.,"Maintenant, partons pour notre premier vol.",Şimdi ilk uçuşumuza geçelim.,Ahora vamos a realizar nuestro primer vuelo.,さあ、初めての飛行に出かけましょう。,現在讓我們開始我們的第一次飛行。,"Sekarang, mari kita terbang pertama kali."
Tut_25,Давай посмотрим на второй режим игры,Let's take a look at the second game mode.,Werfen wir einen Blick auf den zweiten Spielmodus.,Jetons un œil au deuxième mode de jeu.,İkinci oyun moduna bir göz atalım.,Echemos un vistazo al segundo modo de juego.,2番目のゲームモードを見てみましょう。,讓我們來看看第二種遊戲模式。,Mari kita lihat mode permainan kedua.
Tut_26,А теперь давай сходим в свой первый полёт,Now let's go on our first flight.,Nun geht es los zu unserem ersten Flug.,"Maintenant, partons pour notre premier vol.",Şimdi ilk uçuşumuza geçelim.,Ahora vamos a realizar nuestro primer vuelo.,さあ、初めての飛行に出かけましょう。,現在讓我們開始我們的第一次飛行。,"Sekarang, mari kita terbang pertama kali."
,,,,,,,,,
Tut_start_1,Нажимай на сладости и собирай их. За это ты будешь получать 4 Сахара,"Click on the sweets and collect them. For this, you will receive 4 Sugars.",Klicke auf die Süßigkeiten und sammle sie ein. Dafür erhältst du 4 Zucker.,Cliquez sur les bonbons et récupérez-les. Vous recevrez 4 sucres.,Şekerlere tıklayın ve toplayın. Bunun karşılığında 4 Şeker kazanacaksınız.,Haz clic en los dulces y recógelos. Recibirás 4 Azúcares.,お菓子をクリックして集めましょう。そうすることで、砂糖4個が手に入ります。,點擊糖果並收集它們。您將獲得4顆糖。,"Klik permen dan kumpulkan. Untuk ini, Anda akan menerima 4 Gula."
